,bearing,consist,course,headsign,latitude,longitude,lowFloor,route,vehicleId
468,19.0,,05714,Útěchov,49.23651,16.6276,True,57,7801
469,130.0,,04106,"Královo Pole, nádraží",49.26263,16.56814,True,41,7803
470,348.0,,05716,Tomkovo náměstí,49.21412,16.63568,True,57,7804
471,258.0,,05712,Tomkovo náměstí,49.28849,16.63051,True,57,7805
472,56.0,,05708,Tomkovo náměstí,49.31028,16.61329,True,57,7808
473,315.0,,05214,Kamechy,49.22792,16.53146,True,54,7810
474,,,04102,"Kuřim, železniční stanice",0.0,1.666667e-07,True,71,7811
475,213.0,,05206,Mendlovo náměstí,49.19091,16.59187,True,52,7812
476,348.0,,04104,"Královo Pole, nádraží",49.26293,16.57842,True,41,7813
477,326.0,,05218,Mendlovo náměstí,49.22129,16.52839,True,52,7814
478,67.0,,05208,ZOO,49.22055,16.52616,True,52,7815
479,168.0,,1404302,"Královo Pole, nádraží",49.231,16.60353,True,43,7820
480,67.0,,05224,ZOO,49.22056,16.50304,True,54,7822
481,281.0,,04206,Globus,49.26291,16.57962,True,42,7824
